TM923.32 电工;技术;电气化;电能;应用;电气;照明;灯泡;灯管;气体;放电灯;
TM923.31 电气化;电能;应用;电气;照明;灯泡;灯管;白热灯泡;白炽灯;
TN14 无线电;电子学;电信;技术;真空;电子;技术;X射线管;阴极射线管;
TM26 工业;技术;电工;材料;超导体;
TM383.1 电工;技术;电机;微电机;控制;用;自整角机;
TM411+.3 变压器;电力;油浸式;自耦;
TN787+.1 基本;电子;电路;脉冲;技术;调制;解调;调制器;幅度;
TM31 电工;技术;电机;发电机;大型;发电机组;
TN713+.1 基本;电子;电路;滤波;技术;滤波器;各形;
U228.3+1 电气化;铁道;干扰;防干扰;无线电;设备;防护;机场;通信;
